composite_figi,ticker,name,valid_from,valid_to
BBG000B9XRY4,AAPL,Apple Inc.,2003-09-10,
BBG0025Y4RY4,ABBV,ABBVIE INC.,2012-12-10,
BBG000B9ZXB4,ABT,Abbott Laboratories,2003-09-10,
BBG000BB5006,ADBE,Adobe Inc.,2003-09-10,
BBG000BBDZG3,AIG,"American International Group, Inc.",2009-07-02,
BBG000BBQCY0,AMD,Advanced Micro Devices,2003-09-10,
BBG000BBS2Y0,AMGN,Amgen Inc,2003-09-10,
BBG000B9XYV2,AMT,American Tower Corporation,2012-01-04,
BBG000BVPV84,AMZN,Amazon.Com Inc,2003-09-10,
BBG00KHY5S69,AVGO,Broadcom Inc. Common Stock,2018-04-05,
BBG000BCQZS4,AXP,American Express Company,2003-09-10,
BBG000BCSST7,BA,Boeing Company,2003-09-10,
BBG000BCTLF6,BAC,Bank of America Corporation,2003-09-10,
BBG000BLBVN4,BKNG,Booking Holdings Inc. Common Stock,2018-02-27,
BBG01PSW2WN4,BLK,"Blackrock, Inc.",2024-10-02,
BBG000DQLV23,BMY,Bristol-Myers Squibb Co.,2003-09-10,
BBG000FY4S11,C,Citigroup Inc.,2011-05-10,
BBG000BF0K17,CAT,Caterpillar Inc.,2003-09-10,
BBG000VPGNR2,CHTR,Charter Comm Inc Del CL A New,2016-05-19,
BBG000BFQYY3,CL,Colgate-Palmolive Company,2003-09-10,
BBG000BFT2L4,CMCS,Comcast Corp,2003-09-10,2004-11-08
BBG000BFT2L4,CMCSA,Comcast Corp,2004-11-08,
BBG000BGKTF9,COF,Capital One Financial,2003-09-10,
BBG000BQQH30,COP,ConocoPhillips,2003-09-10,
BBG000F6H8W8,COST,Costco Wholesale Corp,2003-09-10,
BBG000BN2DC2,CRM,"Salesforce, Inc.",2004-06-23,
BBG000C3J3C9,CSCO,"Cisco Systems, Inc. Common Stock (DE)",2003-09-10,
BBG000BGRY34,CVS,CVS HEALTH CORPORATION,2003-09-10,
BBG000K4ND22,CVX,Chevron Corporation,2003-09-10,
BBG000BH1NH9,DE,Deere & Company,2003-09-10,
BBG000BH3JF8,DHR,Danaher Corporation,2003-09-10,
